,"「오늘 계획은 실패했어요. 비디오로 습격 격투 기술을 배웠지만, 실제로 실행해보니 정신을 차렸을 때 이미 416님에게 제압당했죠.」|「지금 생각해보면, 제가 416님께 다가갔을 때 벌써 눈치채셨던 걸지도 몰라요.」|「다리로 저를 감는 동작이 너무나도 빨라서 전혀 제대로 볼 틈도 없었어요…… 그래도 적어도 416님을 번쩍 들어올리기는 했으니, 작은 성과라고 할 수 있겠죠.」"
나레이션,"（안도리스는 단말 앞에 앉아 한숨을 쉬며, 방금 단말에 적어둔 글을 찌푸린 표정으로 바라본다.）"
안도리스,"하지만 416님을 들어올린 것도 혼란 와중에 우연히 한 행동일 뿐, 미리 계획한 게 아니었어요. 그리고 곧바로 땅에 제압당했죠."
안도리스,"교학 영상처럼 순조로울 거라곤 생각 안 했지만, 416님의 실력은 정말 예상 이상이네요…… 앞으로 어쩌죠?"
안도리스,"그래도 416님을 한 번이라도 제대로 타격해서 인정을 받고, 이 자리를 얻기로 결심했으니, 한 번 실패했다고 포기할 순 없어요…… 물론, 진짜 총으로 416님을 쏠 수는 없죠. 너무 위험하니까……"
나레이션,"（안도리스는 검색 페이지를 열고, 무턱대고 마우스를 움직이며 전술 교학 영상을 살펴본다.）"
교육 영상,"오늘은 실용적인 동작 몇 가지를 알려드릴게요. 아군과 적의 전력 차가 큰 상황에서 특히 유용한데, 핵심은 적의 약점을 노리는 거랍니다."
안도리스,"약점을 노린다……? 음, 일리가 있네요."
교육 영상,"일반적으로 사람의 약점은 복부, 목, 그리고 눈이에요. 이 부위를 빠르게 공격하는 방법을 지금부터 시범으로 보여드릴게요!"
안도리스,"인형의 약점도 사람과 비슷한 부위일까요? 복부라면… 소체의 방어력이 꽤 높은 것 같고, 목은 취약하긴 해도 제 힘으론 큰 타격을 주기 힘들 것 같고……"
안도리스,그럼 남은 건 한 가지네요. 한 번 시도해볼까요. 영상에서 뭐라고 하더라——
교육 영상,지금 적과 마주한 상황을 가정해봅시다——
나레이션,"（안도리스가 일어서서 의자를 책상 밑으로 밀어 넣고, 충분한 공간을 확보한다.）"
안도리스,"좋아요, 적을 마주했다고 가정하고."
교육 영상,"하체를 단단히 지지하고, 두 발을 살짝 벌려서 서세요. 동시에 회피를 염두에 두고, 약간 도약하듯 움직입니다."
안도리스,두 발로 가볍게 뛰어오르기.
교육 영상,"왼손으로 얼굴을 가리고, 방어 자세를 취합니다——"
안도리스,"왼손… 음, 이 위치인가. 그런데 제대로 방어하려면 416님이 어떻게 공격할지 알아야 할 텐데."
안도리스,"제가 전에 봤을 때, 공격받을 가능성이 있는 지점이——에에… 17군데…… 일단 콧등을 보호하고—— 그다음 가슴을 막고—— 이마를—— 콧등을——"
교육 영상,"오른손을 재빠르게 내질러요! 바로 눈을 노려—— 앗, 뭐야! 왜 때려!"
나레이션,（영상 뒷부분의 코믹 반전은 이제 안도리스 눈에 들어오지 않는다. 그녀의 마인드맵은 이미 다운 직전이다.）
안도리스,콧등—— 이마를 막고—— 공격——
나레이션,"（쿵 소리와 함께, 안도리스는 자기 얼굴에 펀치를 날리고 그대로 쓰러진다.）"
나레이션,"「오늘 계획도 실패했어요. 정면에서 약점을 공략하는 기술을 익히기 힘들 것 같아 결국 등 뒤에서 기습했는데, 416님의 눈을 가렸을 때 곧바로 돌아서 절 제압해버리더군요.」|「역시 전투는 정말 어려워요. 어떻게 해야 416님을 한 번이라도 제대로 타격해, 제 실력을 인정받을 수 있을까요?」|「그래도 다행히 개선 방향은 찾았어요. 영상에서 전투 장비를 유연하게 활용하라고 했는데, 예를 들면 섬광탄으로 적을 일시적으로 실명시킬 수 있다고 하더라고요. 이 방법을 시도해보려고요. 오늘 밤에 준비를 잘 해두고, 내일 다시 힘내야겠어요.」"
나레이션,"「오늘도 역시…… 실패했어요. 회의실에 분위기용 조명을 잔뜩 달아놨는데, 섬광탄처럼 효과적이진 않네요.」|「하지만 416님에게 내던져졌을 때, 제 시각 모듈이 잠깐 흐려지긴 했어요. 헤헤, 이게 일시적 실명을 달성한 셈일까요? 꼼꼼히 기록해둬야겠어요.」|「영상에서 적과 아군의 전력 차가 클 땐 환경을 활용해보라고 하던데, 이른바 '천시·지리·인화' 말이죠. 그걸 응용해볼 아이디어가 떠올랐어요. 내일은 환경을 활용한 작전 방식을 시도해볼게요. 잘 되기를 바라야죠.」"
나레이션,"「인적 협동 작전은 실패했어요. 정비사 아가씨께 부탁해서 416님의 시선을 끌어보려 했는데, 전혀 효과가 없었죠. 제가 나타나자마자 416님은 절 곧바로 제압해버렸어요.」|「혹시 눈 두 개 말고 다른 시각 모듈도 있는 걸까요?」|「그래도 요 며칠 동안 열심히 준비한 덕에, 임시 거점 환경에 대해 어느 정도 파악이 됐어요. 물론 외부인이 볼 수 있는 부분에 한정되긴 했지만…… 그리고 416님, G11님의 행동 방식이나 습관도 대강 알 것 같아요. 아마 다음 계획에 활용할 수 있겠죠.」|「그리고 한 가지 신경 쓰이는 점이 있어요——이 며칠 동안 416님이 제가 계속 기습하는 걸 막진 않았다는 거예요. 화를 내긴 했지만, 제 방법이 멍청하다고만 했지 그만두라고 하진 않았거든요…… 이건 무슨 의미일까요?」"
G11,"아, 피곤해…… 분명 일 없는 날인데, 평소보다 더 늦게 끝났네요……"
HK416,"투덜대지 마요, 그래도 바람 쐬러 데려갔잖아요?"
G11,"그걸 휴식이라고 할 수 있어요? 지금 입 안에 모래가 가득한데, 퉤퉤……"
HK416,됐어요…… 얼른 들어가서 오늘 훈련 복습이나 하라고요.
G11,"벌써 이렇게 늦었는데, 지금은 제 개인 시간이라고요! 제 사적인 시간을 존중——"
HK416,쉿!
나레이션,"（G11을 회의실로 끌고 가던 HK416이 갑자기 걸음을 멈추자, G11은 제동이 안 걸려 그대로 그녀에게 부딪힌다.）"
G11,앗! 또 왜요? 회의실 들어가려던 거 아니었어요?
HK416,조용히 해요. 뭔가 이상한 거 못 느꼈어요?
G11,어? 이상하다…… 회의실 불이 꺼져 있네. 우리가 이렇게까지 절약해야 하는 상황이었나?
HK416,"그게 아니라, 후방지원팀에게 말해놨어요. 이 시간에 회의실을 쓸 거니까 장비를 세팅해두고 퇴근하라고요."
G11,"…아… 혹, 혹시 누가 숨어 들어온 건가요? 도둑? 설마? 여긴 404의 비밀 거점이잖아요!"
HK416,야시경 켜요.
G11,와아아!
나레이션,"（둘은 야시 기능을 켜고, 평소와 달리 회의실 바닥에 온갖 잡동사니가 흩어져 있는 걸 발견한다.）"
G11,음…… 잘 보이진 않지만…… 완전히 뒤집어졌는데요……
G11,정말 도둑이 들었나? 그런데 도둑이 회의실에서 뭘 훔치려고……
HK416,조심하면서 들어가 봐요.
나레이션,（HK416과 G11은 총을 들고 조심스럽게 회의실 안으로 들어간다. HK416은 발밑에서 뭔가 부서지는 느낌이 들자 멈춰 선다.）
HK416,…커피콩?
G11,"여기 티백이랑 간식들도 있어요…… 416, 혹시 털린 데가 사실 휴게실인가요?"
HK416,저기 구석 좀 봐요. 뭔가 있어요.
G11,"어, 알겠다."
나레이션,"（야시 모드로 보니, 구석 바닥에 시커먼 '무언가'가 엎드려 있다.）"
HK416,——!
G11,"저, 저거 머리카락 같은 게 보이는 것 같아요…… 저거—— 사람이에요? 416——"
나레이션,"（HK416은 대답하지 않고, 바닥에 흩어진 잡동사니를 넘어 조용히 쓰러진 불명 물체에게 다가간다.）"
