바랴그단원,후퇴! 후퇴! 이 '토끼들'은 너무 강해! 후퇴!
나레이션,"（오던 때와 같은 속도를 유지하며, 바랴그단을 이길 수 없다고 판단한 후, 다시 공격적으로 차를 몰고 도주했다.）"
강우,"흥, 이렇게 빨리 도망가려고?"
나레이션,"（강우의 공격은 전혀 약해지지 않았고, 계속 추격하려 했다.）"
조휘,"잠깐, 추격하지 마."
강우,"아아, 이 녀석들을 그냥 두고 가는 건가? 정말 참을 수가 없어."
강우,"게다가, 아미다의 실종도 그들과 관련이 있을지도 몰라! 만약 그들이 아미다를 납치했다면!"
나레이션,"（조휘는 그들이 도망가는 방향을 응시했고, 차량의 바퀴는 황사 속에 깊은 자국을 남겼다——）"
조휘,"우리는 방금 주변을 간단히 수색했지만, 아무것도 발견하지 못했어."
조휘,"이 사람들은 목표가 분명하고, 준비된 상태로 왔어……"
강우,"너의 말은…… 나, 나 먼저 지휘관과 연락해야겠어!"
나레이션,"（조휘의 말뜻을 이해한 강우는 즉시 지휘관과의 통신에 접속하여, 두 사람의 경험을 모두 보고했다.）"
지휘관,"그들은 여기에서 매복하고 있었어, 아마도 사고 차량을 지키고 있는 다른 동료들이겠지."
조휘,역시 너도 그렇게 생각했구나.
강우,"그럼 그들은 잘못된 대상을 매복한 거야, 일반 암상은 정말 막기 어렵지만, 우리는 뛰어난 전술 인형이잖아!"
조휘,그들은 전력을 다하지 않았어.
지휘관,화력이 부족한 건 아니야?
나레이션,（조휘는 고개를 숙이고 잠시 기억을 되새겼다.）
조휘,"우리는 서로 교전 시간이 길지 않았어, 오히려 양측의 화력 차이를 판단한 후에 후퇴한 것 같아. 당황해서 흩어지는 모습이었지만, 후퇴 경로는 매우 일치했어…… 나는 이것이 유인 전술이라고 생각해."
조휘,"아마도 그들은 이번 경주 대회에 참가한 팀을 노리고, 자신들의 지형에 대한 익숙함을 이용해 매복을 설계한 것 같아."
조휘,"지휘관님, 이것은 내가 평소에 접하거나 알고 있던 바랴그단과는 달라요."
지휘관,"응, 네 의견에 동의해."
지휘관,"그리고, 너희들은 이 바랴그단의 수단이 약간 익숙하지 않다고 생각하지 않아??"
조휘,"지휘관님이 말씀하신, 혹시——"
지휘관,"이번 바랴그단의 행동 방식이, 얼마 전 에이다 사건에서 우리가 만난 그 무리와 매우 비슷해——내 말은, 바랴그단이 갑자기 머리를 써서 싸우는 법을 배웠다는 거야."
지휘관,"그래서, 우리가 그 거점을 파괴한 바랴그단은 아마도 정말로 단지 겉보기뿐일지도 몰라."
강우,"흥, 역시 또 그들이야, 이번에는 반드시 그들을 완전히 쓰러뜨려야 해!"
조휘,"지휘관님, 페리를 찾았나요? 그녀의 실종도 이 이상한 바랴그단과 관련이 있을까요?"
지휘관,"그 가능성을 배제할 수는 없어, 다른 인형들이 아직 그녀의 행방을 찾고 있어."
조휘,어떻게 할 계획이야? 나는 협조할게.
지휘관,"바랴그단의 일은 내가 계속 처리할게. 조휘, 강우, 너희는 계속 아미다를 찾아."
조휘,알겠습니다.
강우,나한테 맡겨!
