나레이션,"（심야의 골목에서, 제이콥이 비밀문 반대편에서 나와 자신을 기다리고 있는 페리를 보았습니다.）"
제이콥,"페리 씨, 오늘 경기에서의 당신의 모습이 정말 놀라웠습니다. 앞으로 더 많은 포인트를 얻어 정보 제공에 필요한 보수를 지불할 수 있을 거라 믿습니다."
페리,"감사합니다! 메시지에서 톰슨 사부의 정보를 찾았다고 하셨는데, 정말인가요? 사부님은 지금 어디에 계신가요?"
제이콥,"물론입니다, 저는 협력 파트너로부터 받은 소식입니다……"
페리,"원, 원래 그렇군요……!"
페리,"사부님이 사냥꾼 팀에 합류하셨다니 예상치 못했습니다! 새 이름까지 바꾸셨군요, 그래서 제가 계속 소식을 못 들은 이유가 있군요…… 정말 감사합니다, 이 정보를 가지고 바로 돌아가서 그녀를 찾을 준비를 하겠습니다!"
제이콥,"아니요, 급히 가지 마세요. 사실 저는 사람을 보내서 한 묶음의 화물을 보낼 계획이었습니다. 페리 씨가 오셨으니 제 차를 같이 타시는 게 어떨까요? 저는 부하들과 연락을 취할 겁니다. 그들은 시장 외곽에 있습니다. 빨리 가세요, 그들이 당신을 차에 태울 겁니다."
페리,"에? 이, 이게 정말 가능한가요, 너무 공손하시네요! 그럼, 그럼 저는 바로 지휘관과——"
제이콥,"잠깐만요, 제가 미리 알려드리려는 이유는 그 사냥꾼 팀이 이번에 임시 긴급 보급이기 때문에 화물을 받는 즉시 생해를 추격해야 합니다. 저만이 그들에게 가장 빨리 공급할 수 있어 지체할 여유가 없습니다. 페리 씨는 먼저 가서 사부님을 붙잡으세요, 엘모호에 있는 곳은 제가 도와서 알려드리겠습니다."
페리,하지만...
제이콥,"2분만 더 있으면 제 팀이 출발할 겁니다, 시간은 기다려주지 않습니다."
페리,"그, 그럼 부탁드리겠습니다!"
페리,저는――
페리,나는 반드시 찾아야 해……
페리,찾았다…… 사부님……!
