나레이션,"（조작 권한을 빼앗은 후, 더 이상 암호의 방해 없이 니키타는 기록실 데이터베이스를 자유롭게 탐색했다.）"
나레이션,"（데이터 스트림이 그녀 주위를 스쳐 지나가며, 그녀는 눈치채고 필요한 항목을 추출했다.）"
니키타,"찾았다……이네사 그리고리 체르노바, 네가 숨기고 있는 걸 보자."
니키타,-이네사 그리고리 체르노바 700123번 상담 녹음 발췌
상담사,그럼 시작해 보죠.
이네사,예.
상담사,"들어올 때, 당신이 이 그림을 계속 보고 있는 걸 봤어요. 이 그림에 뭔가 특별한 점이라도 있나요?"
이네사,이 그림에 있는 소녀……내 딸을 닮았어요.
상담사,딸이 있나요?
상담사,（10초 동안의 침묵.）
이네사,정확히 말하자면……양녀예요.
상담사,양녀? 그 아이는 분명 특별한 사연이 있겠죠?
이네사,그 아이는……제 동료의 유골이에요.
상담사,당신 동료는 어떻게 됐나요?
상담사,（30초 동안의 침묵.）
이네사,말할 수 없어요.
상담사,좋지 않은 기억인가요?
이네사,"네……그가 죽을 때, 저는 현장에 있었어요. 그는 저를 위해 죽었죠……"
이네사,그래서 나는 반드시 그의 딸을 잘 키워야 해. 내 능력 범위 내에서 그 아이에게 최고의 모든 것을 제공해야 해……이 생명의 선물은 너무 무거워.
상담사,"들어보니, 그 아이는 당신에게 정말 중요한 존재인 것 같네요."
이네사,……그 아이는 제 전부예요.
이네사,"처음에는 정말로 그 아이를 동료의 유골로 여겼지만, 이 몇 년간의 시간 속에서 그 아이는 이미 내 딸이 되었어……"
이네사,"비록 혈연으로 연결되진 않았지만, 그 아이는 내 딸이야."
상담사,"그 아이 말고도, 당신에게 중요한 존재가 또 있나요? 사람에게는 여러 지지대가 중요하죠."
상담사,（1분 동안의 침묵.）
이네사,미안해……
상담사,"괜찮아요, 이건 사과할 일이 아니에요. 다른 이야기를 해보죠, 당신은 계속 자선 활동을 하고 있나요?"
이네사,"네, 가끔 복지원에 기부를 하거나, 우나를 데리고 봉사 활동을 하러 가요."
상담사,"우나, 그게 당신 딸이죠? 그 아이는 복지원에 가는 걸 좋아하나요?"
이네사,꽤 좋아해요. 그 아이는 친절하고 정의감이 강한 아이예요. 사람들을 돕는 일을 좋아하죠……
상담사,듣기엔 아주 순종적인 아이네요.
이네사,"순종적일 뿐만 아니라, 정의감도 강해……작은 태양 같아. 그 아이는 뉴스를 정말 좋아하고, 모든 불공평한 일에 대해 분노를 느껴……"
이네사,"내가 그 아이에게 “이 세상에 절대적인 공평은 없다”고 말해도, 그 아이는 그래도……조금이라도 더 공평해지기 위해 힘을 쓰고 싶어 할 거야……"
상담사,"정의감이 강하네요, 당신 곁에서 자라서 그런 건가요?"
이네사,"……아니, 그 아이는 나와 달라. 나는 이런 일들……공평, 정의……나는 이런 일들에 대해 이미——"
이네사,"（통신 단말기 진동 소리, 옷 부스럭거리는 소리, 버튼 누르는 소리.）"
이네사,"……죄송해요, 긴급 업무가 생겼어요."
상담사,"괜찮아요, 그럼 오늘 상담은 여기까지 하죠."
상담사,-녹음 종료
니키타,우나……양녀? 다른 것도 들어보자.
니키타,-이네사 그리고리 체르노바 700201번 상담 녹음 발췌
이네사,오늘 여기 분위기가 활기차네요.
상담사,"네, 오늘은 세미나가 있어서 회사에서 괜찮은 음식을 예약했어요. 백화사초수 한 잔 드릴까요?"
이네사,……그게 뭐야.
상담사,"제 고향 음료예요. 아주 오래전에 독특한 맛으로 유행했던 건데, 최근에 다시 생산되기 시작했어요. 한 잔 드릴까요?"
이네사,"아니요, 저는 밖에서 만든 건 마시지 않아요."
상담사,직업적 습관인가요?
상담사,（5초 동안의 침묵.）
이네사,그렇다고 할 수 있죠.
상담사,"음, 괜찮아요. 그럼 당신 고향 이야기를 해보죠. 고향에 특별한 음식이 있나요?"
이네사,"흙 빵, 마른 풀 실."
상담사,들어보니 맛있어 보이진 않네요.
이네사,오염 지역에선 먹을 게 있다는 것만으로도 다행이죠.
상담사,당신은 오염 지역 출신인가요?
이네사,맞아.
상담사,오염 지역에서 지금 이 자리까지 오는 건 정말 힘들었겠죠?
상담사,（옷 부스럭거리는 소리.）
이네사,"……쉽기도 하고, 쉽지 않기도 해요. 제 영혼을 팔아서 지금 이 자리를 얻었죠. 이 자리에서, 저는 아주 위험한 일들을 해야 해요. 앞으로도 뒤로도 심연뿐이죠……"
