벡터,"지휘관, 이전 작전 보고서에 따르면 하프시가 이미 훈련 모드를 다시 조정했어."
하프시,맞아.
하프시,"지금 훈련 모드는 전부 내부 폐쇄 네트워크로 돌리고 있어서, 외부 적이 끼어들 가능성은 없어."
하프시,그리고 기존 데이터베이스를 기반으로 예상을 벗어나는 장면을 자동 생성하지 않으니까 안심하고 훈련해도 돼.
비욜카,에? 그 기능 엄청 좋았는데!
비욜카,"미슈티, 혹시 이거 네가 제안한 수정사항 중 하나야?"
미슈티,엘모호에 그 영상 못 본 사람 있어? 네가 그 영상 여기저기 뿌려 놓은 거잖아……
미슈티,클루카이가 그거 보고 바로 날 찾아와서… 며칠 동안 훈련 더 하게 했단 말이야.
미슈티,분명 그 영상은 나랑 전혀 상관없어. 난 그냥 재밌을 것 같아서 기록만 했을 뿐이라고.
비욜카,"헤헤, 그건 나랑 클루카이 언니 사이 우정의 증표라고! 몇 번을 봐도 안 질린다니까~"
미슈티,"그건 그렇고, 훈련 모드 테스트 하는데 이렇게 많이 필요하진 않지 않아?"
미슈티,"하프시가 설계자로서 참가 안 해도, 한 판에 멤버 네 명이면 되잖아. 여긴 인원이 충분해."
미슈티,다들 수고해. 난 열심히 여러분 플레이 후기 들을게……Z…Z…Z…
클루카이,미슈티! 평소 훈련을 소홀히 하면 안 되지.
미슈티,근데 우리 다 하프시 새 훈련 모드 테스트하러 온 거잖아. 평소 훈련도 줄어든 거 없고.
미슈티,오늘 일상 훈련은 이미 다 했어. 하프시가 훈련 모드 조정 다 끝내면 완성판 바로 해 볼래.
안도리스,"하프시가 훈련 모드 최적화하면서 네 의견 많이 물어봤잖아, 미슈티."
하프시,"맞아, 나 미슈티 의견이 꼭 필요해."
안도리스,이번 훈련 모드가 최적화돼서 엄청 재밌어진 것 같던데.
하프시,지휘관 요구에 맞춰서 소대 협동 능력 훈련을 최적화했어.
하프시,미슈티가 인정할 만한 훈련 모드를 만들고 싶거든.
미슈티,뭐야…… 내 인정을 받는 게 그렇게 중요해?
안도리스,"네 제안은 빼놓을 수 없어, 미슈티."
미슈티,"미리 말해 두는데, 나 게임 평가는 엄청 까다로운 편이야."
미슈티,훈련 모드를 게임 형식으로 만든다고 해도 결국 훈련이잖아——
비욜카,"클루카이 언니랑 같이 훈련할 수만 있다면, 그게 바로 휴가지!"
