별의 소원 마스터(청안),크윽——
나레이션,"(수많은 격전 끝에, 별의 소원 마스터는 마침내 잠잠해졌다.)"
지휘관,후… 드디어…
콜펜,에… 에구머니나~!
콜펜,"강력한 별의 소원 마스터를 물리치다니, 지휘관님은 정말 전례 없는 전설을 만드셨다고 할 수 있겠네요!"
지휘관,"상대를 어떻게 이겼는지는 둘째 치고, 콜펜, 이게 대체 어떻게 된 거야?"
콜펜,"그게요… 당신이 분투하는 동안, 저도 메이링 씨에게 물어봤어요."
콜펜,"기획 회의에서 나온 요구 사항이 '지휘관이 전투를 지휘할 때의 매력을 최대한 보여줄 것'이었나 봐요. |그래서 개조할 때, 메이링 씨가 별의 소원 마스터를 지휘관을 마주하면 반드시 미친 듯이 전력으로 싸우는 유닛으로 설계했다고 해요."
지휘관,…이런 일이 처음은 아닌 것 같은데.
지휘관,"됐어, 적어도 이제 전투는 끝났으니, 드디어 쉴 수 있겠——"
콜펜,"과! 연! 지휘관의 진심 앞에서는, 아무리 강력한 적이라도 이길 수 있습니다!"
콜펜,"이것이 바로, 지휘관과 인형 사이의 가장 강한 유대!"
콜펜,"그럼 다음에는, 지휘관이 어떤 강적을 마주하게 될까요? 우리 함께 기대해 봅시다!"
지휘관,잠깐만...
지휘관,다음도 있다고?
콜펜,물론이죠~!
콜펜,"생각해 보세요, 지휘관이 응원하는 그녀를 위해 전력을 다해 싸우는 모습을 보면, 누가 반하지 않겠어요?"
콜펜,"다른 사람은 말할 것도 없고, 저조차도 이 시간 동안 지휘관에게 마음이 설렜다고요~!"
콜펜,"그러니, 모두의 소원을 이루기 위해, 지휘관님, 계속 힘내주세요~!"
