나레이션,"（난잡한 차바퀴 자국을 따라, 조휘와 강우는 광야 속으로 계속 깊이 들어갔습니다.）"
강우,"조휘, 이게 적을 유인하기 위한 함정이라는 걸 알면서도, 우리가 계속 추적해도 괜찮은 걸까요?"
조휘,적을 유인하는 데 성공했는지의 여부는 시간 창에 달려 있습니다.
조휘,"우리는 그때 즉시 추격하지 않았기 때문에, 아마도 유인에 실패한 것으로 판단되었을 겁니다."
조휘,그리고 설령 그렇지 않더라도……
강우,"설령 그렇지 않더라도, 조휘는 아미다를 구출할 어떤 기회도 포기하지 않을 거죠, 그렇죠?"
강우,"맞아요, 맞아요. 나는 점점 당신 같은 솔직한 성격을 더 좋아하게 되었어요!"
강우,"안심하세요, 내가 있으니 조휘는 반드시 에이다처럼 슬픈 추억을 가지지 않을 거예요!"
조휘,"네, 감사합니다."
강우,"아이고, 조휘, 저쪽을 봐요!"
강우,"협곡 입구 저기, 작은 검은 점들이 많이 움직이고 있어요! 꽤나 활기찬 것 같네요……"
강우,"어? 잠깐, 저건 두 무리의 사람들이 싸우고 있는 것 같은데!"
조휘,봤어요. 바랴그단과 습격당한 암상이 대결을 준비하고 있어요!
