,태양과 가장 멀리 떨어진 위치에서도 햇빛은 사라지지 않는다.
메이링,"또 새 통신이에요! 암호화 채널... 발신자 표시... ""칼끝을 손에 쥐고""?"
지휘관,...연결해.
레나,지휘관!
나레이션,(...)
나레이션,"그날, 나는 과거의 악몽에 둘러싸여 있었다. 레나의 통신이 새로운 소식을 가져왔다."
나레이션,"운명을 농락하는 마녀가 공포의 속삭임을 가볍게 묻으며, 모래판 위에 또 다른 이야기를 적어 내려갔다."
나레이션,"지금 이 순간, 엘모호는 황야 속을 전속력으로 달리며 도로 상황 데이터를 계속 보고받고 있다."
나레이션,"지금은 오후, 햇빛이 가장 강렬한 시간이다. 잠시 지휘실 창밖의 햇빛이 내 눈에 비치며, 오랫동안 부르지 않았지만 결코 낯설지 않은 이름이 떠올랐다——"
나레이션,HK416……클루카이.
나레이션,클루카이와 미슈티는 건물 잔해 속에서 붕괴 폭풍을 피하고 있다.
나레이션,"모래가 강풍에 휩쓸려 잔해를 스치고, 약한 창문이 불안하게 삐걱이며 마치 곧 조각난 칼날이 될 듯하다."
나레이션,"미슈티는 창문에서 멀리 떨어진 허물어진 벽에 기대어, 창밖의 맹렬한 붕괴 폭풍을 피곤하게 바라보고 있다."
미슈티,"하……여긴 대체 뭐하는 곳이야, 붕괴 폭풍이 갑자기 휘몰아치다니, 아무런 징조도 없잖아."
미슈티,"안도리스와 벨카가 정말 부럽네, 임시 기지에서 편히 쉬면서 이런 선발 조사를 안 해도 되니까……"
클루카이,붉은 구역 근처에서 일기예보를 바라는 네가 이상한 거야.
미슈티,마음대로 말해……
나레이션,강한 바람이 많은 물건들을 벽을 따라 휩쓸며 지나가자 미슈티의 시선을 끌었다.
미슈티,우와! 방금 날아간 게 뭐야? 잘못 본 게 아니라면 나무 상자였던 것 같아.
미슈티,다행히 우리 중형 오토바이가 밀고 들어올 수 있어서…… 아니었으면 내가 일부러 가져온 장비가 다 날아가 버렸을 거야.
클루카이,나는 차라리 네가 그런 잡동사니를 가져오도록 허락한 걸 후회해.
미슈티,클루카이는 전혀 몰라.
미슈티,"우리가 조사했던 몇몇 거주지의 시설과 비교하면, 그것들은 보물 수준의 좋은 물건들이야……"
나레이션,미슈티는 자랑스럽게 중형 오토바이에 묶인 작은 가방을 바라보았다.
미슈티,거기 있는 아이들마저도 부러워할 정도로 멋진 물건이야.
클루카이,"……너한테 패러데우스에 대해 물어보라 했더니, 아이들과 놀고 있었나 보네?"
미슈티,"어, 무서운 표정 짓지 마, 진지한 일도 했거든…… 하지만 아무것도 물어보진 못했어."
미슈티,"패러데우스 같은 건, 거주지 사람들은 전혀 들어본 적도 없고, 니토 같은 인형도 본 적이 없더라고……"
미슈티,"정말로 리바가 말한 것처럼, 그들이 여전히 활동 중일까?"
클루카이,"만약 누군가 네 질문에 답할 수 있었다면, 우리가 이번 임무를 수행할 필요가 있었겠어?"
미슈티,"음, 그냥 대충 물어본 거야."
미슈티,"다시 생각해보니, 패러데우스의 잔당들이 다 제거되었다고 하지 않았나? 근데 왜 다시 나타난 거지…… 지치지도 않나?"
미슈티,"일을 그렇게 좋아한다면…… 404에 전부 고용해서 일 시키면 되지, 어차피 어디서 총 쏘나 똑같잖아……"
나레이션,"폭풍이 조금도 약해질 기미가 보이지 않자, 미슈티는 고통스럽게 머리를 긁적이며 그대로 누워버렸다."
나레이션,"클루카이는 미슈티의 시선을 따라 외부의 폭풍을 잠시 응시하다가, 곧 다시 그녀에게 시선을 돌렸다."
클루카이,일어나. 순찰 중에는 경계를 유지해야 한다는 걸 잊었어?
나레이션,"클루카이가 미슈티 옆으로 다가와 그녀의 외투를 잡아당겼지만, 미슈티는 그저 게으르게 자세를 바꿀 뿐이었다."
미슈티,아… 누울 수 있을 때 잠깐 눕는 거지. 어차피 나중에 더 바빠질 텐데 말이야.
미슈티,"패러데우스와 관련된 임무는 항상 힘들고, 운이 나쁠 거야. 아니, 엄청 최악일 거야."
미슈티,리바가 무슨 생각으로 이런 힘들고 보답 없는 의뢰를 받아들였는지 모르겠어... 모두가 거점에서 누워있는 게 차라리 낫겠네.
나레이션,"손을 놓고, 클루카이는 어쩔 수 없다는 듯 미슈티를 바라보았다."
클루카이,그녀가 무슨 계획이 있든 중요하지 않아. 임무는 임무일 뿐이야.
미슈티,지금 내가 게으름 피우는 게 아니야... 밖의 폭풍이 멈출 기미가 전혀 없잖아. 우리가 여기 숨는 것 말고는 할 수 있는 게 없어.
미슈티,"게다가 너 너무 긴장하고 있어... 이 길을 지나면서 패러데우스는 커녕, 바랴그단이나 현상금 사냥꾼도 거의 만나지 않았잖아. 시생물이 아니었다면 여기는 '치안 양호'라고 해도 될 정도야."
클루카이,그래서 더 의심스러워. 이 시간을 이용해서 이후의 행동을 계획해야 해.
클루카이,이번에는 상당히 심각한 상황에 직면할 수도 있을 것 같아.
나레이션,클루카이는 무너진 벽과 잔해 너머로 날아다니는 모래 폭풍을 심각한 표정으로 바라보았다.
클루카이,"잦은 붕괴 폭풍이든, 정상치보다 높은 방사선 농도든, 이곳의 환경은 리바가 제공한 정보보다 훨씬 악화되어 있어. 그래서..."
미슈티,걱정 마… 클루카이… Zzzzzz… Zzz……
클루카이,......
