클루카이,안도리스?
클루카이,"들리면 대답해, 들리면 대답해——"
미치티,"괜히 힘 빼지 마, 신호가 또 끊긴 게 분명하잖아……"
클루카이,"뭐야 저 쓰레기는, 저 어둠상들이 제공하는 네트워크, 하루 단기 대여 비용이 월간 요금의 몇 배나 되고, 월간 요금은 연간 요금의 몇 배인데, 이따위 퀄리티라고?"
미치티,돈만 받고 일은 안 하네……보아하니 이미 아주 “성숙한” 노동자들인가 봐.
미치티,"음, 정말 좋겠다——"
나레이션,(미치티가 힘껏 기지개를 켜며 부러운 표정을 짓는다.)
클루카이,"흥, 이번 임무가 끝나면 직접 가서 다시 “협의”할 필요가 있겠군."
미치티,으와……너 지금 표정이 무서워!
미치티,하지만 이 분노는 먼저 풀어내자. 저 기계놈들이 또 왔네……이전보다 규모가 더 큰 것 같아.
클루카이,……귀찮네.
클루카이,너도 차 안에서 해설자처럼 틀어박혀 있지 말고 당장 내려와서 싸워!
미치티,전부 다 없애야 해요? 적과 아군의 수가 너무나 차이가 큰데.
클루카이,"이동속도가 빠르거나 원거리 공격이 가능한 적부터 우선적으로 처치하고, 틈이 나면 철수해."
클루카이,벨카 쪽과 합류하기 전까지는 싸움에 매달리지 마.
미치티,으으… 듣기만 해도 더 귀찮아졌는데……
