나레이션,"(그동안, 길을 가던 블루 스피어는 코쿤과 정기 보고를 하고 있었다.)"
블루스피어,"…반송된 메시지에 따르면, 우리 측이 이미 목표를 찾았어."
코쿤,"축하해, 이렇게 오래 추적했는데 드디어 찾았어."
블루스피어,"그의 이동 속도가 예상보다 40% 빠르고, 이동 경로의 추정에도 몇 가지 실수가 있어서 회수 시간이 계속 지연되었어."
코쿤,"서둘러야 해. 그리고 내가 보낸 지원도 꽤 유용했지—아, 매그니 시큐리티를 말하는 거야."
코쿤,"그들이 목표를 성공적으로 사살했어? 실패하면, 내가 애쓰며 관계를 정리해서 받은 운송 위탁을 잃게 되잖아."
블루스피어,아니.
블루스피어,"당시에 루련의 환경 조사 부대와 그 네 명의 전술 인형이 현장에 있어서 회수에 영향을 미쳤기 때문에, 일단 임시로 놓아둘 수밖에 없었어."
블루스피어,"하지만 나는 이미 인력을 배치해 추격을 계획했고, 반드시 목표인 부점을 전멸시키고 '그것'을 되찾을 거야."
코쿤,"아이구, 정말 일이 잘 안 풀리네."
코쿤,"우선 회수를 하면서, 그들을 모두 제거할 기회를 찾는 걸 잊지 마."
코쿤,내 사랑하는 전장 정리 부대 대장님~
블루스피어,알았어.
블루스피어,"기지의 파괴 작업이 순조롭게 진행되고 있어, 곧 그들은 모든 통신 수단을 잃게 될 거야."
블루스피어,"그들의 장비는 아주 평범해, 나 없더라도 매그니 시큐리티의 무장 부대는 쉽게 상대를 제거할 수 있어."
코쿤,"너는 좀 더 조심하는 게 좋겠어, 지금 이 연쇄적인 문제들은 이전에 적을 가볍게 여기면서 생긴 거니까."
코쿤,"인간… 아주 흥미로운 생물이지. 그들을 절망의 벼랑으로 몰수록, 그들은 더 끈질기게 버텨."
코쿤,"제발 조심해, 이 절망의 야견들에게 반격당해 목을 찢기지 않도록."
블루스피어,"알았어, 더 신중할게."
코쿤,"통신, 끊을게. 아이구, 아직 다른 친구에게 연락도 해야 하고."
코쿤,다츄어도… 블루 스피어 반만 따라가면 마음이 좀 편해질 텐데.
