나레이션,"(엘모호에서 쉬고 있던 어느 오후, 그로자와 나는 엘모호에서 열린 두 번째 요리 콘테스트를 회상했다.)"
그로자,...아직도 그날 밤 요리 콘테스트가 생각나.
그로자,지휘관과 엘모호에서 모두 같이… 시끌벅적한 밤을 보냈지.
그로자,게다가 지휘관은 아주 훌륭한 심판이었어. |눈을 가리고도 어떤 게 누구 요리인지 정확히 맞추다니.
지휘관,당연하지. 우리 대장님 솜씨를 어떻게 잊겠어.
그로자,그럼 지휘관이 다시 한번 블라인드 테스트를 하면 정확하게 맞출 수 있을까?
지휘관,한번 더?
그로자,"응. 이번엔 다른 사람과 대결하는 게 아니라, 나 자신과의 싸움이야."
지휘관,자신과의 싸움은 어쩌다 생각해 낸 거야?
그로자,그건… 지휘관이 만족할 만한 맛을 만들어 주고 싶어서.
그로자,"요리 콘테스트 날, 원래 저만의 특제 요리를 만들어서 지휘관을 편하게 해주고 싶었거든."
그로자,그런데 내가 재료 잘못 고르는 바람에 만족스럽지 않은 요리가...
그로자,그 사건이 항상 아쉬웠거든.
그로자,그래서 요즘 계속 새로운 레시피를 연습하면서 예전 레시피도 수정하고 있어.
그로자,콘테스트 날 만들었던 요리라던가...
그로자,재료를 싹 바꿨어. 자극적인 재료를 빼고 조리 방식도 찜으로 바꿔서 더 부드러운 식감으로 만들었지.
그로자,이번 신메뉴는 자신 있어. 그날 밤의 아쉬움을 달랠 수 있을 거야.
그로자,하지만… 맛은 결국 지휘관이 판단해야 해. |이 요리는 지휘관을 위해 만들었거든.
그로자,"그러니까 지휘관, 오늘 밤에 새로운 레시피로 만든 요리를 맛보러 와줄래?"
그로자,바꾼 레시피로 만든 요리가 지휘관 입맛에 맞을지 확신이 안 서서 그래.
지휘관,좋아.
그로자,열심히 준비할게.
그로자,바꾼 레시피로 만든 요리를 지휘관이 좋아해 줬으면 해.
그로자,콘테스트에서 이기고 지는 건 관심 없어.
그로자,그냥 그 요리가… 지휘관님 기억 속에 안 좋은 기억을 남겼다는 생각이 들어.
그로자,사실 지휘관이 내 실패작을 맛본 게 한두 번은 아니지.
그로자,하지만 앞으로 새로운 요리를 만들 때마다 지휘관에게 좋은 기억으로 남았으면 해.
그로자,지휘관은... 나에게 매우 특별한 사람이니까.
그로자,"지휘관이 좋아해 줘야, 내가 레시피를 바꾼 의미가 있어."
그로자,"그리고, 난 지휘관에게 '완벽한 대장'으로 남고 싶어..."
그로자,"그러니까 지휘관, 한 가지만 약속해 줄래?"
그로자,"지휘관님, 이번에도 맛 없다면 솔직하게 말해줘."
그로자,지휘관님의 조언을 기대할게.
지휘관,그러지.
