나레이션,"(어느 평온한 날, 나와 캐롤릭은 오래전 엘모호에 남기로 한 그녀의 결정에 관해 다시 한번 이야기했다.)"
캐롤릭,"그러면 그때, 안 남을 거면 결정 샤드 20개 배상하라는 지휘관 말은 완전 거짓말이었던 거지?"
캐롤릭,"내가… 그때 반드시 가야 한다고 했다면, 사실 지휘관도 날 난처하게 할 생각 없었지?"
지휘관,글쎄…
캐롤릭,"…쳇, 그때는 내가 널 몰라서 너한테 속은 거야! 지금이라면 안 속아."
캐롤릭,"이제야… 나, 나는 네가 어떤 사람인지 조금 알겠어…"
캐롤릭,다시 한번 나한테 선택하라고 하면 절대…
지휘관,안 남을 거야?
캐롤릭,"뭐? 어떻게 이래! 쳇, 어떻게 이렇게 잘 알아!"
캐롤릭,"나, 나는… 지휘관이 다시 한번 물어보면, 절대 속지 않을 거야!"
캐롤릭,그리고 지휘관 당신도!
캐롤릭,"내가 남기를 원하면, 솔직하게 말해!"
캐롤릭,아무튼 수습 기간에 제법 잘 지냈잖아…
지휘관,캐롤릭 여기가 좋아?
캐롤릭,당연하지!
캐롤릭,"임무가 무척 많기는 했지만, 원래 강해지고 싶었어."
캐롤릭,"더 많은 시생물과 바랴그단을 처리해서, 실전 훈련처럼 하려고."
캐롤릭,그리고… 아직 네가 있잖아.
캐롤릭,너 말야… 꽤 믿음직스러워.
캐롤릭,"내가 싫어하는 무기를 쓰라고 강요하지도 않고, 매달 결정 샤드도 주고."
캐롤릭,전투할 때 나랑은 다르게… 꽤 침착하고 합리적인 명령을 내려.
캐롤릭,가장 중요한 건… 어떤 상황에서도… 아무도 버리고 가지 않는다는 거야…
캐롤릭,젠장… 이런 말은 너무 어려워. 내 스타일이 아니거든.
캐롤릭,여기 오래 머물다 보니 네메시스처럼 말이 많아졌어…
캐롤릭,"어쨌든! 내 말은… 엘모호에 남을 걸 후회하지 않는다는 거야! 알겠어, 지휘관?"
지휘관,"그래, 고마워, 캐롤릭."
캐롤릭,고맙긴 뭐가 고마워? 오염지대에서 너 같은 사람은 처음 봤어!
캐롤릭,"인형한테 고맙다고 하고, 환영회까지 열어 주다니…"
캐롤릭,"말이 나와서 말인데, 환영회 날 술 너무 많이 마신 거 아니야?"
지휘관,기분이 좋아서 두 잔 더 마셨어.
캐롤릭,"기, 기분이 좋아?"
캐롤릭,사실 나도… 음… 꽤 괜찮았어.
캐롤릭,환영회는 꽤 재미있었어. 서로 싸우고 죽이려고 모인 게 아니잖아… 내가 같이 했던 게임에 영 소질이 없긴 했지만…
캐롤릭,"그래도 너랑 한 조에 있을 때, 몇 번 이긴 게 기억나…"
캐롤릭,"…야, 왜 웃는 거야! 다음엔 나 혼자서 이길 거라고!"
캐롤릭,뭐? 표정이 왜 그래? 못 믿겠어?
캐롤릭,기다려! 다음번엔 내가 꼭… 반드시 이길 거야!
지휘관,"그래, 기대할게."
