나레이션,"(어느 날, 네메시스가 일깨워줘서 나는 '네메시스 POD'의 서포트로 네메시스와 같이 치즈를 만들었던 경험이 떠올랐다.)"
네메시스,"…돌이켜 보니, 불완전한 발자국… 짙은 구름으로 뒤덮인 바다…"
네메시스,…연소하는 이삭… 내뿜는 불길에 형성된 딱딱한 늪지대…
네메시스,…뒤틀린 물 자국…바다 야수의 다리…
지휘관,윽... 뭐야?
네메시스,…숨결은 흐린 바다 위에 떠다니고… 강바닥에 응집된 자갈은…
네메시스,…희미한 공기 속에서 사라진 낯익은 흔적처럼…
네메시스,…교차는 새로운 도안을 형성하고…
네메시스,…희미한 안개 속에 반짝이는 이름 없는 쌍둥이별…
네메시스,…엇갈리고 융합해… 연소하는 핵심…
네메시스,"…허를 찔린 야수의 비명… 침투, 신체의 붕괴…"
지휘관,"네메시스, 잠깐만… 메이링이 POD를 고쳤던 게 기억났어… 아, 찾았다."
네메시스,.........
네메시스,"…황량한 사막의 새싹을 채집해… 엮고, 풀고…"
“네메시스 POD”,<i>…만남 이후의 시간이 좋아서 자주 회상해요…</i>
네메시스,…햇빛 위로 표류하는 비슷한 도형… 해가 뜰 때…
“네메시스 POD”,"<i>…우리가 처음 만났을 때, 범선이 거꾸로 항해하고 있었어요…</i>"
네메시스,…노래하는 별의 움직임… 폭포에 나타난 반사된 그림자…
“네메시스 POD”,<i>…오랫동안 유지했어요…</i>
지휘관,어쨌든… 현재 상황을 오랫동안 유지하고 싶다는 거지?
네메시스,"…진동, 흐르는 계곡물 아래…"
“네메시스 POD”,"<i>…미묘하고, 약간 다른 뜻이죠…</i>"
네메시스,"…맹렬하게 어두운 밤을 몰아내는 날개… 조석의 리듬, 변화…"
“네메시스 POD”,<i>…설명할 수 없는 기계는 옆에 던져버려요…</i>
네메시스,"…작통, 바닷물 속 골짜기… 용암과 바닷물의 연결…"
“네메시스 POD”,<i>…진정한 이해는 두 사람이 바로 소통하는 거예요…</i>
지휘관,"응, 너는 언젠가 우리가 다른 사람 도움 없이 바로 소통하기를 원하는 거지?"
네메시스,...음...
지휘관,"알았어, 네메시스."
