나레이션,"(엘모호, 작업을 끝낸 어느 오후에 메이링과 나는 그날 밤 그녀가 실수로 '마법주'를 마셨던 일을 회상했다, 그런데--)"
메이링,"어, 사실은 그런 일이 있었던 거군요--"
메이링,제가 저를 루다라고 생각하고 다른 사람들을 루다의 이야기 속 인물들로 대했다고요?
메이링,"어떻게 그럴 수가, 하지만 저, 저는 아예 기억이 안 나요... 그래서... 지휘관님이 갑자기 휴가증을 주신 거로군요..."
메이링,"으와앙... 아앙, 지, 지휘관님. 죄송해요! 제가... 그날 밤에 너무 실례되는 일을 했어요!"
지휘관,"괜찮아, 메이링. 화 안 났어."
메이링,"그렇지만 지휘관님은 제게 늘 잘해주셨는데, 저는 지휘관님한테 '공장주'라고..."
메이링,그리고 그날은 제가 당직을 서야 하는 날이었는데 결국 또 지휘관님이 맡게 되시고...
메이링,"으아앙, 정말 너무 죄송해요! 다 제가 쌀술을 음료 병에 넣은 탓이에요. 앞으로는 안 그럴게요!"
메이링,"지, 지휘관님 처리해야 하는 다른 일이 있으시면 제가 지금 마저--"
지휘관,"메이링, 우린 막 업무 처리를 마쳤잖아. 게다가 그날 우리가 했던 대화를 잊어버린 거야?"
메이링,어... 그날 했던 얘기요? 그건...
지휘관,"휴가증, 잊었어?"
메이링,"...아아! 아니, 아니에요! 죄, 죄송해요, 지휘관님... 아니지, 죄송하다는 얘기를 하려던 게 아니라 마음이 급해지는 바람에... 하지만 그런 뜻은 아니었어요!"
지휘관,조급해 하지 말고 천천히 얘기해.
메이링,"으앙... 감사해요, 지휘관님! 저... 저는..."
메이링,사실 꽤 오랫동안 지휘관님이 저를 정말로 원해서 받아 주신 거라고 믿지 못했어요...
메이링,"모두에게 버려질까 봐, 지휘관님이 어느 날 제가 필요 없다고 하실까 봐 무서웠고, 제가 멋대로 굴었다가 또 중요한 사람을 잃어버릴까 봐 너무 겁이 났어요..."
메이링,"그런데 그날, 지휘관님이 제게 잘 대해주시고 휴가증도 주시면서 제가 하고 싶은 일을 하라고 하셔서... 저, 저는 정말 기뻤어요!"
메이링,지휘관님이 저를 버리지 않으실 거라는 걸 이제 잘 알아요!
메이링,휴가증은 지금 가슴팍 주머니에 있어요. 종이에 쓴 글자는 거짓말을 하지 않으니까요. 그리고 그날 지휘관님이 해주신 말씀도 똑똑히 기억하고 있고요...
메이링,"정말, 정말 감사해요... 지휘관님은 제게 정말로... 앙... 으앙..."
지휘관,"아니, 왜 또 울기 시작하는 거야?"
메이링,엉엉엉... 그냥... 엉... 지휘관님을 만날 수 있었던 게... 그냥 너무 기뻐서...
메이링,"엘모호에 있는 동안 저는 늘 너무 즐겁고 또 마음이 놓였어요... 번거로운 일들을 처리해야 할 때도 있었고 잠도 늘 부족했지만... 하, 하지만 하루하루가 보람 있었어요!"
메이링,"그래서, 어어... 음... 혹시..."
지휘관,왜?
메이링,"가, 갑자기 든 생각인데 제가 하고 싶은 일을 하라고 하셨잖아요, 그러면... 제가 작은 부탁을 하나 드려도 될까요?"
지휘관,부탁? 얘기해 봐.
메이링,저... 지휘관님과 블록 쌓기 게임을 하고 싶어요! 오랫동안 놀아주는 사람이 없고 상대도 없어서 재미가 없어요...
메이링,이번에는 지휘관님과 새로운 기록을 세울 수 있을 거예요!
메이링,만약에... 지휘관님이 쉬는 시간에 저랑 블록 쌓기 게임을 하면서 이야기를 나누면 너무 좋을 것 같아요!
메이링,지휘관님이 옆에 있으면 제 수리 효율이 크게 향상될 거예요!
지휘관,"그래, 나중에 시간 나면 같이 놀아줄게."
