나레이션,"(햇살이 따스한 오후, 센타우레이시는 티타임 세트를 준비하면서 나에게 카페 주케로에서 도둑을 잡은 일화를 얘기해 주었다.)"
센타우레이시,"당시에는 좀 위험했지만 다행히 카페는 아무 손해도 안 입었습니다. 손님들의 ""주케로""에 대한 신뢰도도 올라갔고요."
센타우레이시,가끔은 나쁜 일로 시작해도 좋은 결말을 얻을 수 있습니다. 삶은 참 복잡하고 신비로운 거 같아요.
지휘관,좋은 결말을 얻은 수 있던 건 센타우레이시가 카페를 지키고자 한 의지가 강해서 그래.
센타우레이시,"네, 제가 하고 싶은 일이어서 그랬던 것 같습니다. 설령 이 일로 인해 제가 다시 ""전장""에 돌아가야 할지라도..."
센타우레이시,"근데 마키아토 씨는 삶은 원래 전장이라고, 아무도 도망칠 수 없다고 말했습니다."
센타우레이시,"그러면 제가 ""전장""에 있는지 고민할 바에는 차라리 전력을 다 해서 하고 싶은 일을 하는 게 나은 것 같다고 생각했습니다."
센타우레이시,"지금 제가 하고 싶은 일은, ""주케로""를 지키는 것, 그리고... 주인님을 수호하는 것입니다."
지휘관,내가 그렇게 지켜줘야 할 존재로 보이나?
센타우레이시,"그렇게 보이면서, 그렇지 않습니다."
센타우레이시,주인님은 지금 매우 바쁘십니다.
센타우레이시,그리폰에서부터 지금까지... 제가 겪은 것보다 훨씬 많은 것들을 겪었지요.
센타우레이시,지금 엘모호의 여러 업무들도 주인님이 계서야 정상적으로 작동할 수 있습니다.
센타우레이시,"임무 선택, 인원 배치, 자금 관리... 이 모든 업무들은 그리폰 때와 비교해서 봐도 전혀 쉽지 않습니다."
센타우레이시,저는 주인님의 유능함과 세심함을 존경합니다. 다만 저는 메이드로서 주인님의 일상을 보필해야 합니다.
센타우레이시,"깨끗하고 정돈된 환경, 적절한 온도의 음료, 그리고 맛있는 식사..."
센타우레이시,저는 주인님이 업무로 바쁜 나날을 보내시는 와중에도 높은 삶의 질을 느끼셨으면 좋겠습니다.
센타우레이시,"이외에도, 고민이 있을 때는 언제는 제게 상담해 주십시오."
센타우레이시,최선을 다해 주인님의 고민을 덜어드려 지키도록 하겠습니다.
센타우레이시,...주인님? 왜 웃으시는 겁니까? 제가 이상한 말을 했습니까?
지휘관,"그냥, 센타우레이시는 여전히 진지하구나 했어."
센타우레이시,주인님을 보살피는 게 제 책임이자... 제 소망이니까요.
센타우레이시,"업무도, 일상도... 아니면, 지금처럼 주인님의 피로를 회복시켜드릴 수 있는 티타임 세트를 준비하는 것 만으로도..."
센타우레이시,센타우레이시는 영원히 주인님을 정성껏 모시겠습니다.
