유희,"바로 여기야, 지휘관~"
유희,"나는 이미 '불꽃' 후배들과 미리 연락해뒀는데, 등록은 저쪽에서 하는 거야……"
나레이션,"（어느 날, 엘모호가 녹구를 지나던 중, 유희가 내게 와서 '그롱' 가무단에서 연락을 받았다고 전했다. 그녀가 전에 근무했던 가무단이 근처에서 순회 공연 중이었고, 그녀가 단장을 맡았던 '불꽃' 댄스 팀도 출연하며 두 장의 티켓을 줬다고 하더라.）"
나레이션,"（마침 엘모호가 정비와 보급이 필요해서, 유희는 나를 함께 오라고 초대했다.）"
활발한 댄스 인형,"단장, 여기 여기."
나레이션,"（멀지 않은 곳에서, 연출복을 입은 한 인형이 우리에게 손을 흔들고 있었으며, 그 주위에는 연출복을 입은 다른 인형들이 둘러싸여 있었다.）"
유희,바로 '불꽃'의 단원들이야!
유희,"지휘관, 저쪽으로~ 우리 같이 가자."
유희,"여러분, 오랜만입니다. 모두 잘 지내고 계신가요?"
활발한 댄스 인형,"그래, 단장이 자신의 소원을 이루러 돌아간 이후로 정말 오랫동안 단장을 직접 본 적이 없었어. |알레샤 선생님이 챙겨주셔서, 우리 모두 잘 지내고 있어."
유희,"죄송합니다, 수고 많으셨어요."
진지한 댄스 인형,"단장님, 그렇게 말씀하지 마세요. 매주 우리와 연락하시고 춤을 지도해주시며 새로운 안무도 제공해주시잖아요."
유희,"결국 내가 너희를 두고 혼자 돌아가 내 일을 했으니까. |너희가 나를 명예 단장으로 여기니, 이 작은 일은 난——"
나레이션,"（유희와 선두의 두 명의 댄스 인형이 옛날 이야기를 나누고 있었고, 그 주위의 인형들은 몰래 수군거리며 때때로 나를 슬쩍 바라보고 있었다.）"
나레이션,（나는 이상하다고 느껴 귀를 기울이며 그들의 대화를 들었다.）
수다스러운 댄스 인형,"야, 너희 봐봐, 단장 옆에 있는 그 사람, 아마 단장이 평소에 계속 이야기하던 그 사람일 거야."
수줍은 댄스 인형,"오—— |그럴 거야, 특징과 기질이 단장이 묘사한 대로라 정말 친근한 느낌이 난다니까."
열정적인 댄스 인형,"그럼 이번에 단장과 함께 오게 된 건, 즉 데이트하는 거야? |단장이 드디어 성공한 건가!"
나레이션,（인형들의 대화 대상은 분명 나였다. 유희가 평소에 나를 자주 언급하던가?）
유희,콕콕!
나레이션,（유희는 단원들의 몰래 속삭이는 소리를 눈치채고 일부러 위엄 있는 태도를 취하며 소리 내어 그들의 대화를 제지했다.）
나레이션,"（기술자의 특수 설계 덕분에, 감정이 격해질 때 유희 얼굴은 평소보다 훨씬 빨개졌다.）"
유희,"자, 모두 소개할게. 이 분은 엘모호의 지휘관, 즉 내 지휘관이야."
활발한 댄스 인형,"어이, 어이, 네 지휘관은 어때~"
유희,"어, 어……"
