???,흥~ 흥흥♪♪♪
나레이션,"（휴게실을 지나가던 중, 리드미컬한 발걸음 소리와 함께 즐거운 박자 소리가 들려왔다.）"
나레이션,"（궁금해진 나는 소리 나는 쪽, 반쯤 열려 있는 문 너머의 요리 구역을 바라보았다.）"
나레이션,"（거기엔 유희가 있었는데, 그녀는 문을 등지고 마이크로웨이브를 향해 서 있었고, 타이머에는 남은 시간이 3분으로 표시되어 있었다. 유희는 내 다가옴을 눈치채지 못하고 춤을 추고 있었다.）"
나레이션,"（내 기억 속의 유희의 춤은 언제나 역동적이었는데, 오늘은 달랐다. 그녀의 춤동작은 매우 부드럽고 유연했으며, 리듬도 느렸다…… 우아한 한 바퀴 돌며 유희의 춤이 끝났다.）"
나레이션,（나는 박수를 치며 앞으로 걸어갔다.）
지휘관,정말 좋네.
유희,"지, 지휘관! |너, 왜 여기 있냐?"
지휘관,우연히 지나가다가 들렀어. |내가 안 왔으면 네 '특별 공연'을 놓쳤겠지?
유희,"아, 아냐, 아냐!"
유희,"이 춤은 아직 완성되지 않았어. 네게 준비한 춤은 이 춤이 아니야, 이건 인정되지 않아. 지휘관, 너 아무것도 못 봤어!"
나레이션,"（유희가 다소 당황한 모습이었고, 나는 의아해했다.）"
지휘관,"음? 유희, 무슨 일이야? |네게 준비한 춤이라니—"
나레이션,"（‘딩’ 소리와 함께, 마이크로웨이브가 가열 완료를 알렸다.）"
유희,"어쨌든, 방금 본 건 다 잊어버려."
유희,"치킨윙이 식어버리기 전에, 나 먼저 실례할게!"
나레이션,"（말을 마치자, 유희는 급히 마이크로웨이브에서 그녀의 '매콤한 치킨윙'을 꺼냈다. 좋아하는 달콤한 매운 소스를 붓기도 전에 문을 박차고 달아나며, 요리 구역을 빠르게 벗어났다.）"
나레이션,（나와 활짝 열린 마이크로웨이브 문 앞에서 서로 어찌할 바를 몰라하며 바라보았다.）
나레이션,（며칠 후——）
나레이션,"（나는 휴게실에서 최근 의뢰 시세를 살펴보고 있었는데, 유희가 갑자기 커피 주전자를 들고 다가왔다.）"
유희,"지휘관, 너한테 커피 좀 채워줄게……"
나레이션,"（그녀가 웃으며 있는 걸 보자, 나는 커피잔에 커피를 붓려던 손을 멈췄다.）"
지휘관,"……유희, 뭐든지 말해봐."
유희,"어, 어! 없, 없어. |지휘관, 무슨 소리야?"
지휘관,흐음...
나레이션,"（요리 구역에서 그날 마주친 이후, 유희는 때때로 나와 함께 댄스 영상을 보자고 초대했지만, 최근 엘모호 일이 바빠서 나는 거절했다.）"
나레이션,"（그 후, 유희는 자주 지휘실에 몰래 드나들며 마치 나를 관찰하는 듯했는데, 그러다——）"
지휘관,"그런데 이 커피, 난 한 모금도 안 마셨어."
유희,"어, 아……하하, 내가 잘못 본 것 같아~ |미안해, 지휘관."
지휘관,"유희, 말해봐, 요즘 도대체 어떻게 된 거야."
유희,"나, 나…"
나레이션,"（나는 유희를 똑바로 쳐다보자, 유희의 웃음이 서서히 사라지고, 그녀는 고개를 숙여 바닥을 바라보며 왼쪽 오른쪽을 두리번거렸다.）"
나레이션,"（더 이상 숨길 수 없다는 듯, 유희는 커피 주전자를 꽉 쥐고, 손가락이 주전자 손잡이를 끊임없이 문질렀다.）"
유희,"나… 내가 엘모호에 올라, 지휘관과 재회한 지 벌써 오래됐어. 그런데, 너에게 보여주고 싶은 춤은 전혀 진전이 없었어."
유희,이대로는…… 안 돼.
유희,"속도를 좀 올려야 해, 방법을 꼭 찾아야 해……"
나레이션,（나는 핵심 단어를 움켜쥐었다.）
지휘관,나에게 보여줄 춤?
유희,......
