,"(그 후 얼마 지나지 않은 어느 오후, 나는 지휘실에 왔다.)"
지휘관,메이링.
메이링,무슨 일이에요? 지휘관?
지휘관,스프링필드가 당신을 찾아왔나요?
메이링,스프링필드 씨? 저를 찾아오셨다고요? 왜요?
지휘관,아직 당신에게 말하지 않았나 보군요.
지휘관,"이런 거예요, 스프링필드가 공용 구역에 카페를 짓고 싶어하는 것 같아요."
지휘관,"주케로처럼, 아니면 주케로의 분점이라고 할 수 있을까요?"
메이링,에!? 정말요? 그거 정말 대단한데요!
메이링,저도 공용 구역의 시설을 좀 더 업그레이드할 필요가 있다고 생각했어요!
지휘관,당신도 찬성해 주셔서 정말 다행이에요.
지휘관,"스프링필드가 저를 놀라게 하고 싶어서, 구체적인 건설 작업에 저를 참여시키지 않은 것 같아요."
지휘관,"하지만, 적어도 예산 문제는 우리가 먼저 해결해야 할 것 같아요."
메이링,"그렇군요……지휘관, 잠시만 기다려 주세요!"
나레이션,"(메이링은 빠르게 터미널을 켜고, 창고의 재고와 다른 몇 가지 회계 내역을 확인했다.)"
나레이션,(원래 지휘실에서 업무를 돕고 있던 그로자와 콜펜도 소리를 듣고 왔다.)
그로자,……카페인가요?
그로자,조금 그리운데요.
콜펜,그리워요?
그로자,"예전에, 그리폰에 있을 때, 우리도 우리만의 카페가 있었어요.|우리는 많은 추억을 남겼죠."
콜펜,에——정말 멋져요!
콜펜,어떤 추억이 있었나요?
그로자,"명절이나 축하할 만한 날이면, 우리는 항상 카페를 장식했어요."
그로자,"스프링필드, 센타우레이시……아, 그때는 그녀를 G36 씨라고 불렀죠, 그녀는 근무 업무에 능숙한 인형들과 함께 많은 준비를 했어요."
그로자,"그러면, 모두가 함께 모여, 시끌벅적하게 환호했죠."
콜펜,에——정말 멋져요!
그로자,"네, 우리에게는 이 모든 것이 중요한 추억이에요."
콜펜,저도 지휘관과 이런 추억을 만들고 싶어요.
콜펜,"그렇죠, 지휘관~"
지휘관,...응.
지휘관,"돌이켜보면, 스프링필드는 항상 자발적으로 행사 준비를 맡았어요."
지휘관,모두와 추억을 남기고 싶어서였겠죠.
